client_id,client_name,client_type,industry,date_onboarded,primary_contact
1,Client_1,Government,Legal,2019-04-02,jBhjyT
2,Client_2,Individual,Tech,2018-04-13,dQSfHC
3,Client_3,Government,Finance,2021-01-31,aeNmvz
4,Client_4,Government,Tech,2020-09-30,SUiauW
5,Client_5,Individual,Finance,2020-07-03,OoKLOI
6,Client_6,Individual,Legal,2019-07-26,zjldMd
7,Client_7,Government,Legal,2019-02-24,qcyVBc
8,Client_8,Corporate,Finance,2018-12-23,ASddSu
9,Client_9,Government,Healthcare,2022-09-25,WDEceI
10,Client_10,Government,Finance,2018-05-11,DqnIqn
11,Client_11,Government,Healthcare,2018-05-03,gHxWWa
12,Client_12,Government,Tech,2019-01-19,GDfBAg
13,Client_13,Individual,Tech,2020-06-14,sdmowC
14,Client_14,Government,Tech,2020-08-10,pZPBIC
15,Client_15,Corporate,Legal,2023-09-01,WfTnUM
16,Client_16,Individual,Tech,2018-04-19,iokrJS
17,Client_17,Corporate,Healthcare,2020-03-25,AnVcGR
18,Client_18,Corporate,Tech,2022-09-15,crgYiw
19,Client_19,Corporate,Finance,2020-06-21,KDfXJh
20,Client_20,Corporate,Finance,2023-01-14,btCwcs
21,Client_21,Individual,Legal,2021-02-13,WYcsJI
22,Client_22,Individual,Finance,2018-01-27,sDTYMW
23,Client_23,Corporate,Healthcare,2019-10-16,miPjvj
24,Client_24,Corporate,Tech,2022-09-28,WOvIMm
25,Client_25,Individual,Legal,2021-10-25,iKtcyk
26,Client_26,Individual,Tech,2021-02-12,VsQTlI
27,Client_27,Individual,Tech,2019-09-29,uodOsA
28,Client_28,Government,Healthcare,2020-05-31,JRrbTn
29,Client_29,Government,Finance,2021-10-10,EZbFrO
30,Client_30,Government,Finance,2019-02-23,wZgUjc
31,Client_31,Corporate,Tech,2019-01-15,wBPJWM
32,Client_32,Government,Legal,2022-04-06,kwXVGI
33,Client_33,Corporate,Finance,2019-02-01,gUAIqK
34,Client_34,Corporate,Legal,2022-01-10,CjItMj
35,Client_35,Government,Finance,2021-11-09,DvRpkO
36,Client_36,Corporate,Legal,2020-12-19,FqwJAP
37,Client_37,Government,Healthcare,2018-06-27,XMIoIG
38,Client_38,Government,Legal,2023-02-25,eXmqPh
39,Client_39,Individual,Healthcare,2019-05-27,cZFNxU
40,Client_40,Government,Healthcare,2022-03-31,DLtuhJ
41,Client_41,Individual,Legal,2018-11-19,USUOlP
42,Client_42,Government,Healthcare,2021-04-15,KyCVgg
43,Client_43,Government,Tech,2022-01-21,yBDqNx
44,Client_44,Individual,Healthcare,2020-02-27,QUwVxi
45,Client_45,Individual,Finance,2018-10-12,SxNRoO
46,Client_46,Government,Legal,2018-07-07,zmwLmr
47,Client_47,Corporate,Tech,2020-07-22,Uehthl
48,Client_48,Individual,Legal,2021-03-31,vrydRu
49,Client_49,Corporate,Finance,2018-11-23,OXbTDy
50,Client_50,Corporate,Finance,2020-08-11,XpuURB
51,Client_51,Corporate,Finance,2019-02-18,MPUzoz
52,Client_52,Individual,Healthcare,2022-04-06,uIPLRV
53,Client_53,Corporate,Healthcare,2021-02-12,YBVEIe
54,Client_54,Individual,Legal,2023-02-01,wTjnrx
55,Client_55,Corporate,Legal,2022-02-03,rToXvR
56,Client_56,Government,Tech,2019-10-29,yMcXld
57,Client_57,Government,Tech,2022-02-25,XcbmRG
58,Client_58,Individual,Legal,2021-12-26,myfXyn
59,Client_59,Government,Healthcare,2020-05-08,tFYLOi
60,Client_60,Government,Finance,2020-12-29,qEWDVt
61,Client_61,Corporate,Legal,2018-10-20,WkERmK
62,Client_62,Individual,Tech,2019-12-02,pJPPDc
63,Client_63,Corporate,Healthcare,2023-12-28,BIdHav
64,Client_64,Corporate,Legal,2020-09-29,zwsUxh
65,Client_65,Corporate,Legal,2019-11-01,jBHGVO
66,Client_66,Corporate,Healthcare,2023-03-09,yQEqmW
67,Client_67,Corporate,Legal,2022-04-04,oxNDIr
68,Client_68,Corporate,Healthcare,2021-01-10,zqzsno
69,Client_69,Corporate,Finance,2020-06-18,FTCAjm
70,Client_70,Individual,Healthcare,2021-08-21,vCmyLx
71,Client_71,Government,Healthcare,2018-08-18,apvmIt
72,Client_72,Corporate,Healthcare,2020-07-27,CrZCsx
73,Client_73,Corporate,Legal,2018-05-12,plLqMX
74,Client_74,Corporate,Legal,2021-07-16,JjMoEN
75,Client_75,Corporate,Healthcare,2022-07-02,FYRpsp
76,Client_76,Corporate,Legal,2021-01-01,KgccpX
77,Client_77,Corporate,Tech,2018-09-29,HNfaoy
78,Client_78,Government,Tech,2020-05-14,rYnSfd
79,Client_79,Government,Legal,2021-07-12,zEJhQX
80,Client_80,Corporate,Legal,2020-05-20,emDvEG
81,Client_81,Government,Healthcare,2023-08-07,OtVpEw
82,Client_82,Individual,Finance,2022-06-09,DdXfNG
83,Client_83,Corporate,Legal,2023-02-23,nemCiv
84,Client_84,Individual,Tech,2019-08-09,JybooS
85,Client_85,Individual,Healthcare,2020-12-20,dmnPEP
86,Client_86,Corporate,Legal,2019-07-26,kflhnh
87,Client_87,Government,Tech,2020-10-07,dPEQVw
88,Client_88,Individual,Tech,2020-12-12,ypuoCw
89,Client_89,Corporate,Finance,2022-10-21,FUMFbl
90,Client_90,Individual,Healthcare,2022-06-24,JSEbNQ
91,Client_91,Individual,Healthcare,2022-01-22,DNjAwo
92,Client_92,Individual,Finance,2020-06-17,ZwQYyv
93,Client_93,Individual,Finance,2019-07-21,qfivzI
94,Client_94,Government,Healthcare,2023-09-19,uNbeng
95,Client_95,Individual,Healthcare,2023-07-15,OSQaTy
96,Client_96,Individual,Legal,2019-01-08,cAGzwc
97,Client_97,Individual,Legal,2018-07-12,ngoTzb
98,Client_98,Government,Finance,2019-03-26,GPKqav
99,Client_99,Individual,Legal,2019-09-19,lRfXHi
100,Client_100,Individual,Tech,2019-10-18,WpKvzy
101,Client_101,Government,Legal,2022-09-26,xhjFMh
102,Client_102,Government,Legal,2018-09-18,dOSrOn
103,Client_103,Government,Tech,2022-04-26,aLREIS
104,Client_104,Individual,Finance,2022-04-13,xzrNtW
105,Client_105,Government,Tech,2023-04-02,TZmtSv
106,Client_106,Government,Legal,2023-12-08,qyVtZP
107,Client_107,Individual,Finance,2020-10-26,HhYgYr
108,Client_108,Government,Legal,2018-02-17,fRfVah
109,Client_109,Individual,Tech,2019-04-15,TYdOnG
110,Client_110,Corporate,Tech,2020-12-28,uerJBX
111,Client_111,Government,Legal,2021-10-25,GUzCGm
112,Client_112,Corporate,Healthcare,2019-04-02,JoleYN
113,Client_113,Individual,Healthcare,2021-04-17,Kfipbq
114,Client_114,Government,Tech,2022-11-16,cswmvJ
115,Client_115,Individual,Tech,2019-10-10,jjFtJz
116,Client_116,Corporate,Healthcare,2023-02-02,EmHxIU
117,Client_117,Individual,Healthcare,2018-01-14,yoCdXZ
118,Client_118,Government,Legal,2020-12-14,pYJxpZ
119,Client_119,Government,Legal,2023-08-13,SftspK
120,Client_120,Corporate,Healthcare,2020-01-02,bRuaSO
121,Client_121,Individual,Legal,2023-09-11,YVMRUO
122,Client_122,Government,Legal,2019-03-12,lPljnN
123,Client_123,Corporate,Finance,2021-05-07,NJhfGc
124,Client_124,Government,Legal,2023-09-11,PbsgVq
125,Client_125,Government,Tech,2020-03-25,vkOTtA
126,Client_126,Individual,Legal,2019-09-19,oiVXYp
127,Client_127,Government,Legal,2022-03-12,TPydNl
128,Client_128,Individual,Healthcare,2019-10-24,JJuRCe
129,Client_129,Government,Tech,2023-12-13,ungtMn
130,Client_130,Corporate,Legal,2018-01-03,tHtJyG
131,Client_131,Government,Legal,2021-08-20,XrFHHy
132,Client_132,Individual,Finance,2023-06-25,KHgcbZ
133,Client_133,Individual,Legal,2018-03-21,gmButX
134,Client_134,Corporate,Legal,2019-04-04,KCELUI
135,Client_135,Government,Finance,2022-01-26,RGWoJl
136,Client_136,Government,Healthcare,2021-06-13,xmsZtU
137,Client_137,Corporate,Legal,2020-09-07,HdoYXQ
138,Client_138,Government,Finance,2018-08-26,elHYcr
139,Client_139,Government,Tech,2020-09-13,ZOkRCE
140,Client_140,Individual,Healthcare,2018-11-19,QmOPEo
141,Client_141,Government,Tech,2018-12-17,ZZCPfT
142,Client_142,Government,Tech,2023-06-14,gsOEan
143,Client_143,Corporate,Finance,2018-10-11,gvfdxs
144,Client_144,Corporate,Legal,2023-12-22,ExlFLV
145,Client_145,Individual,Finance,2019-05-31,IpHbZS
146,Client_146,Government,Finance,2019-06-10,wfLxUq
147,Client_147,Government,Finance,2023-05-01,hgGELt
148,Client_148,Government,Finance,2019-11-08,FpAwPf
149,Client_149,Individual,Healthcare,2020-12-21,ITCTwU
150,Client_150,Individual,Legal,2023-12-02,vRuLqq
151,Client_151,Corporate,Tech,2022-09-30,nXJyee
152,Client_152,Individual,Tech,2020-05-17,wMtgdX
153,Client_153,Government,Legal,2020-04-03,DIvTWv
154,Client_154,Government,Tech,2021-06-30,VcoqfA
155,Client_155,Individual,Legal,2022-06-23,izSsCf
156,Client_156,Government,Tech,2022-03-10,olwDNG
157,Client_157,Government,Finance,2022-11-30,JCFIKb
158,Client_158,Individual,Tech,2023-10-21,oNVsjh
159,Client_159,Individual,Legal,2023-01-24,IdMYeB
160,Client_160,Government,Legal,2019-05-11,txiqqW
161,Client_161,Government,Legal,2020-10-12,FTiNce
162,Client_162,Government,Legal,2020-07-09,xwFvlA
163,Client_163,Corporate,Legal,2018-09-20,rfJEBq
164,Client_164,Corporate,Healthcare,2021-10-16,lZckXN
165,Client_165,Corporate,Healthcare,2018-03-28,Npgzwg
166,Client_166,Individual,Tech,2020-07-31,BlDIsu
167,Client_167,Corporate,Legal,2020-06-21,Mwxeqw
168,Client_168,Individual,Tech,2018-01-30,vHpvYi
169,Client_169,Individual,Legal,2018-10-18,XxJswf
170,Client_170,Corporate,Legal,2018-08-30,wueTMl
171,Client_171,Corporate,Healthcare,2020-07-26,OdGBkO
172,Client_172,Corporate,Healthcare,2018-10-04,sXHhfn
173,Client_173,Government,Finance,2018-05-09,jhNdXG
174,Client_174,Corporate,Healthcare,2021-09-15,yDEJTH
175,Client_175,Government,Finance,2018-10-18,ZqYqwy
176,Client_176,Individual,Finance,2023-10-07,GPEsdy
177,Client_177,Government,Finance,2020-09-01,btoHYe
178,Client_178,Corporate,Finance,2021-02-14,EtEXMc
179,Client_179,Individual,Finance,2023-06-12,VDjFAX
180,Client_180,Individual,Tech,2020-05-27,xQRZeH
181,Client_181,Individual,Healthcare,2019-06-26,cKZBFs
182,Client_182,Government,Finance,2023-04-21,VuOJcG
183,Client_183,Corporate,Legal,2020-09-22,rrDunS
184,Client_184,Individual,Healthcare,2023-04-22,YFheIV
185,Client_185,Individual,Healthcare,2022-07-26,qIIgKe
186,Client_186,Individual,Finance,2020-02-19,DHrgKX
187,Client_187,Government,Tech,2019-01-22,ZVeIAa
188,Client_188,Government,Finance,2019-02-02,qXrNjZ
189,Client_189,Corporate,Tech,2022-11-01,ipOACM
190,Client_190,Government,Legal,2021-12-22,BITGFi
191,Client_191,Individual,Healthcare,2022-10-01,jKGULc
192,Client_192,Corporate,Legal,2022-08-11,sLYFNO
193,Client_193,Individual,Tech,2023-03-28,mmYOVk
194,Client_194,Individual,Tech,2018-08-10,JDwOOA
195,Client_195,Government,Legal,2019-02-08,vikFTc
196,Client_196,Corporate,Tech,2018-09-06,ytWKAg
197,Client_197,Government,Legal,2022-07-08,eixARe
198,Client_198,Government,Healthcare,2021-10-21,VQUWvu
199,Client_199,Corporate,Legal,2019-03-24,tuelqf
200,Client_200,Individual,Healthcare,2020-10-15,LrhbVy
